label
huddling
making cheese
cutting watermelon
extinguishing fire
historical reenactment
cooking egg
doing jigsaw puzzle
jumping bicycle
ironing hair
cleaning pool
exercising with an exercise ball
twiddling fingers
bull fighting
playing beer pong
playing darts
luge
playing hand clapping games
bench pressing
decorating the christmas tree
staring
changing oil
parasailing
combing hair
bee keeping
shoveling snow
sharpening knives
trimming or shaving beard
licking
playing rubiks cube
wading through water
brushing teeth
clay pottery making
sled dog racing
cracking knuckles
dancing charleston
slacklining
lawn mower racing
water sliding
waxing chest
playing field hockey
using a sledge hammer
laying tiles
playing field hockey
waiting in line
climbing tree
curling (sport)
hopscotch
dumpster diving
eating hotdog
head stand
playing cymbals
shopping
dancing charleston
talking on cell phone
watching tv
braiding hair
trimming shrubs
bench pressing
cracking back
rock scissors paper
passing American football (in game)
folding paper
golf driving
dancing charleston
eating ice cream
tapping pen
tasting beer
blowing out candles
raising eyebrows
playing maracas
long jump
folding napkins
laying tiles
needle felting
gold panning
playing harp
wood burning (art)
eating watermelon
arguing
sticking tongue out
mountain climber (exercise)
skiing slalom
using a microscope
shaking head
belly dancing
crawling baby
calculating
playing guitar
using circular saw
picking fruit
folding napkins
hula hooping
bee keeping
cleaning shoes
playing bagpipes
grinding meat
riding scooter
licking
stomping grapes
flint knapping
tightrope walking
contorting
visiting the zoo
winking
singing
planing wood
hopscotch
pushing wheelbarrow
historical reenactment
ski jumping
drooling
playing bass guitar
pumping fist
winking
disc golfing
fly tying
busking
waxing chest
putting on sari
laying tiles
springboard diving
knitting
talking on cell phone
checking tires
falling off chair
blasting sand
juggling fire
opening refrigerator
swing dancing
riding camel
scrubbing face
frying vegetables
skiing mono
changing oil
shot put
counting money
shining flashlight
windsurfing
chewing gum
visiting the zoo
golf driving
blasting sand
passing American football (in game)
hurdling
shining flashlight
playing hand clapping games
making cheese
dyeing hair
fencing (sport)
mowing lawn
roasting pig
building cabinet
tasting food
yawning
playing chess
cumbia
hugging (not baby)
moon walking
alligator wrestling
sword fighting
shaping bread dough
bowling
doing nails
inflating balloons
drooling
ripping paper
barbequing
acting in play
golf chipping
abseiling
training dog
doing jigsaw puzzle
tying knot (not on a tie)
wrapping present
checking tires
playing keyboard
hugging baby
dodgeball
jumping bicycle
scuba diving
smelling feet
riding camel
headbutting
pushing cart
playing darts
playing accordion
braiding hair
shuffling feet
changing wheel (not on bike)
spelunking
using a power drill
high jump
packing
jogging
bandaging
tiptoeing
playing pan pipes
petting cat
juggling soccer ball
plastering
breaking boards
eating burger
dancing gangnam style
cooking scallops
building lego
hand washing clothes
pillow fight
waxing legs
drooling
throwing discus
cooking egg
getting a piercing
disc golfing
shoveling snow
playing controller
making bubbles
applauding
cumbia
waxing eyebrows
playing marbles
cleaning toilet
checking tires
sword fighting
playing trumpet
folding paper
dining
shoveling snow
picking fruit
contact juggling
playing lute
plastering
clay pottery making
sword fighting
changing wheel (not on bike)
swinging on something
playing ice hockey
sword swallowing
training dog
jetskiing
blowing out candles
krumping
planing wood
answering questions
bouncing on bouncy castle
juggling fire
high kick
tying necktie
playing tennis
long jump
jumping into pool
calculating
putting on mascara
shaking hands
cracking back
drawing
dining
high kick
drinking shots
burping
playing saxophone
eating hotdog
standing on hands
changing gear in car
using segway
pole vault
feeding birds
doing nails
playing ice hockey
shooting basketball
fly tying
vacuuming floor
unloading truck
mountain climber (exercise)
cumbia
presenting weather forecast
shaving head
answering questions
swimming butterfly stroke
inflating balloons
shopping
answering questions
poking bellybutton
cheerleading
opening bottle (not wine)
scuba diving
picking fruit
raising eyebrows
celebrating
washing feet
playing bagpipes
crying
catching or throwing frisbee
dunking basketball
mushroom foraging
breathing fire
spelunking
blowing bubble gum
bee keeping
juggling balls
playing tennis
playing accordion
throwing tantrum
cutting watermelon
cumbia
standing on hands
head stand
sipping cup
dancing charleston
coloring in
brushing hair
cutting apple
cosplaying
casting fishing line
yarn spinning
chopping vegetables
contorting
rope pushdown
high kick
frying vegetables
side kick
opening door
beatboxing
shopping
front raises
alligator wrestling
riding mechanical bull
putting in contact lenses
roasting pig
skiing slalom
sanding floor
gymnastics tumbling
country line dancing
blowing out candles
eating burger
sausage making
jumping into pool
moving furniture
person collecting garbage
riding mechanical bull
roasting marshmallows
roller skating
visiting the zoo
ripping paper
grooming horse
headbanging
snowmobiling
moon walking
celebrating
roller skating
cooking on campfire
playing rubiks cube
testifying
battle rope training
side kick
passing soccer ball
sewing
cracking neck
using bagging machine
motorcycling
laughing
tagging graffiti
decorating the christmas tree
tap dancing
archery
playing xylophone
shearing sheep
celebrating
standing on hands
folding paper
tobogganing
ice skating
watering plants
packing
curling hair
wading through mud
polishing metal
roasting marshmallows
cooking on campfire
curling hair
making a cake
pole vault
jogging
yawning
cosplaying
sharpening pencil
trimming or shaving beard
shining flashlight
sweeping floor
capsizing
washing hair
repairing puncture
dancing macarena
flying kite
hopscotch
cleaning toilet
news anchoring
eating spaghetti
calculating
home roasting coffee
hula hooping
blowdrying hair
delivering mail
waxing chest
putting on shoes
laying concrete
playing piano
planting trees
repairing puncture
spinning poi
playing squash or racquetball
waxing back
polishing metal
blowing out candles
pillow fight
washing dishes
waking up
using atm
sweeping floor
riding mechanical bull
country line dancing
water skiing
pumping fist
laying bricks
calculating
making a cake
catching fish
dining
talking on cell phone
wrapping present
getting a tattoo
gospel singing in church
feeding goats
tying shoe laces
eating burger
grooming dog
ironing
washing dishes
dancing charleston
steer roping
bulldozing
lifting hat
juggling balls
dancing macarena
cracking back
presenting weather forecast
dumpster diving
chopping meat
yarn spinning
calligraphy
playing badminton
calculating
embroidering
jumping into pool
land sailing
situp
blowing glass
pirouetting
hugging (not baby)
watering plants
cooking egg
brushing hair
clam digging
card stacking
flying kite
playing harp
dunking basketball
wrestling
snowboarding
tying necktie
chopping vegetables
plastering
bull fighting
playing marbles
roasting pig
folding clothes
catching or throwing baseball
playing basketball
ski jumping
braiding hair
opening refrigerator
feeding goats
playing monopoly
longboarding
fencing (sport)
exercising with an exercise ball
lifting hat
dodgeball
historical reenactment
surfing water
playing beer pong
lock picking
playing trumpet
yarn spinning
archery
drinking shots
abseiling
blowing glass
opening wine bottle
weaving basket
cutting pineapple
eating doughnuts
eating cake
cleaning shoes
playing harmonica
bee keeping
capoeira
playing hand clapping games
falling off bike
dancing charleston
holding snake
repairing puncture
sleeping
carving ice
slacklining
jetskiing
pumping fist
peeling apples
person collecting garbage
using circular saw
celebrating
playing poker
smashing
assembling computer
building sandcastle
busking
using bagging machine
using remote controller (not gaming)
bowling
watching tv
dancing macarena
counting money
tie dying
playing netball
crawling baby
ice climbing
testifying
tying necktie
passing American football (in game)
riding unicycle
clam digging
contorting
docking boat
high jump
side kick
historical reenactment
wood burning (art)
pumping fist
water skiing
making cheese
directing traffic
drop kicking
playing dominoes
calculating
arranging flowers
sled dog racing
golf driving
trimming trees
rock scissors paper
cosplaying
using circular saw
breathing fire
driving car
air drumming
petting cat
playing ice hockey
playing piano
making a cake
lock picking
waxing eyebrows
tying knot (not on a tie)
playing ocarina
somersaulting
smoking
hurling (sport)
bouncing on bouncy castle
tightrope walking
water skiing
sucking lolly
massaging legs
drinking shots
bowling
throwing axe
brush painting
brushing teeth
pillow fight
head stand
talking on cell phone
cleaning pool
holding snake
playing flute
trimming or shaving beard
preparing salad
rope pushdown
driving car
playing kickball
throwing ball (not baseball or American football)
kicking soccer ball
home roasting coffee
tagging graffiti
cutting watermelon
hitting baseball
fly tying
laying stone
jumping bicycle
jaywalking
wading through water
bandaging
tango dancing
huddling
changing gear in car
roasting marshmallows
beatboxing
waking up
photobombing
scrambling eggs
clam digging
smoking hookah
air drumming
blowing nose
eating cake
jumpstyle dancing
assembling computer
headbanging
front raises
cleaning shoes
playing bass guitar
sipping cup
weaving fabric
building lego
breathing fire
surfing water
front raises
mopping floor
roller skating
snowkiting
crying
catching or throwing softball
roasting marshmallows
putting on lipstick
arguing
sewing
using remote controller (not gaming)
tobogganing
building sandcastle
playing polo
throwing knife
bowling
walking through snow
wrapping present
trimming trees
waxing chest
card throwing
catching or throwing frisbee
giving or receiving award
ski jumping
laying concrete
push up
directing traffic
climbing ladder
battle rope training
tackling
laying tiles
fixing bicycle
cleaning shoes
playing saxophone
dining
javelin throw
cleaning toilet
dancing macarena
home roasting coffee
falling off bike
hammer throw
juggling fire
visiting the zoo
breakdancing
bungee jumping
pull ups
getting a tattoo
land sailing
triple jump
brushing hair
waking up
card throwing
baking cookies
wood burning (art)
riding scooter
combing hair
surfing crowd
brushing hair
barbequing
marriage proposal
using remote controller (not gaming)
throwing discus
blowing bubble gum
jumping jacks
chopping meat
blasting sand
sausage making
tasting food
snorkeling
hurling (sport)
folding napkins
raising eyebrows
biking through snow
riding a bike
raising eyebrows
falling off chair
country line dancing
looking at phone
sign language interpreting
adjusting glasses
writing
playing xylophone
massaging person's head
swinging baseball bat
country line dancing
installing carpet
dyeing hair
clean and jerk
surfing crowd
huddling
throwing axe
photocopying
wading through mud
playing ukulele
trimming shrubs
juggling soccer ball
kicking soccer ball
ice skating
tasting beer
playing clarinet
applauding
playing laser tag
embroidering
photobombing
getting a tattoo
climbing a rope
throwing axe
bottling
dyeing eyebrows
dyeing eyebrows
ripping paper
inflating balloons
dancing gangnam style
carving ice
playing accordion
visiting the zoo
trimming or shaving beard
trimming or shaving beard
arguing
breaking boards
person collecting garbage
feeding goats
putting on sari
square dancing
skiing slalom
pull ups
waxing back
playing scrabble
putting on shoes
riding camel
using circular saw
wading through water
robot dancing
playing darts
using a microscope
cooking egg
staring
sharpening knives
packing
getting a piercing
making bubbles
testifying
embroidering
faceplanting
cleaning shoes
swimming front crawl
pushing wheelchair
testifying
washing hands
playing clarinet
roasting marshmallows
playing ice hockey
smoking pipe
using a power drill
eating ice cream
playing guitar
high kick
making sushi
huddling
bobsledding
building shed
roasting marshmallows
welding
trimming trees
tasting beer
surfing crowd
getting a piercing
slapping
cleaning shoes
casting fishing line
running on treadmill
cleaning pool
carving ice
testifying
grooming dog
tickling
setting table
punching person (boxing)
bouncing on bouncy castle
pushing car
washing hands
using remote controller (not gaming)
clapping
playing scrabble
stomping grapes
eating ice cream
cleaning shoes
parasailing
rock scissors paper
brushing teeth
watering plants
standing on hands
trimming trees
somersaulting
massaging person's head
making tea
pushing wheelchair
massaging legs
mushroom foraging
opening wine bottle
blowing glass
massaging neck
passing American football (in game)
contact juggling
looking at phone
fly tying
cracking knuckles
curling hair
shining flashlight
water skiing
throwing knife
passing american football (not in game)
building cabinet
scrambling eggs
jumping into pool
shining shoes
playing volleyball
longboarding
counting money
steer roping
riding scooter
bending back
playing bass guitar
opening door
tobogganing
tying necktie
jetskiing
separating eggs
bodysurfing
burping
braiding hair
waiting in line
land sailing
bookbinding
sled dog racing
roasting marshmallows
ice swimming
playing accordion
sneezing
cleaning windows
dodgeball
riding camel
getting a tattoo
smoking hookah
ski jumping
playing pan pipes
lawn mower racing
looking at phone
playing clarinet
using a power drill
recording music
blowing leaves
pushing wheelbarrow
ripping paper
hopscotch
staring
getting a tattoo
carving ice
jogging
tasting beer
wrapping present
longboarding
rock climbing
push up
passing soccer ball
swimming butterfly stroke
petting cat
doing aerobics
opening door
water skiing
cracking knuckles
building shed
blowing nose
waxing legs
dyeing eyebrows
swing dancing
tying necktie
surfing water
arranging flowers
frying vegetables
running on treadmill
bodysurfing
catching or throwing baseball
steer roping
tapping guitar
card throwing
parasailing
playing kickball
tie dying
country line dancing
playing volleyball
hitting baseball
cleaning gutters
ski jumping
mushroom foraging
applying cream
cutting orange
tagging graffiti
springboard diving
playing harmonica
bandaging
bull fighting
hockey stop
mushroom foraging
hopscotch
texting
side kick
petting animal (not cat)
yarn spinning
squat
eating hotdog
making the bed
clay pottery making
using a power drill
mountain climber (exercise)
training dog
texting
eating watermelon
passing american football (not in game)
tightrope walking
building lego
ice swimming
climbing ladder
cutting pineapple
shaving head
getting a tattoo
braiding hair
wading through mud
climbing a rope
using a microscope
blowing bubble gum
polishing metal
decorating the christmas tree
tying knot (not on a tie)
bottling
sneezing
busking
putting on lipstick
milking cow
parasailing
swimming breast stroke
sweeping floor
swinging baseball bat
baking cookies
using puppets
skydiving
using circular saw
playing blackjack
doing nails
playing controller
reading book
front raises
cutting nails
bookbinding
country line dancing
base jumping
washing hair
chopping wood
making the bed
belly dancing
waxing legs
brushing teeth
skipping stone
motorcycling
tapping pen
sword swallowing
eating spaghetti
feeding fish
bobsledding
folding clothes
laying stone
passing American football (in game)
opening present
packing
springboard diving
riding or walking with horse
tap dancing
mountain climber (exercise)
trapezing
bouncing on bouncy castle
smoking pipe
lunge
chewing gum
breathing fire
shooting basketball
gospel singing in church
news anchoring
square dancing
hoverboarding
shucking oysters
assembling computer
chopping meat
skiing mono
country line dancing
swing dancing
changing oil
playing recorder
squat
falling off bike
huddling
washing dishes
using atm
sawing wood
surfing water
skiing slalom
cooking on campfire
grooming horse
washing hands
cutting apple
shuffling feet
playing badminton
counting money
chopping vegetables
building shed
drawing
snowboarding
hoverboarding
laying tiles
playing trombone
making cheese
falling off bike
folding clothes
threading needle
lunge
climbing tree
bench pressing
shooting basketball
swinging baseball bat
wading through mud
bouncing on bouncy castle
playing accordion
cooking on campfire
jogging
eating chips
contorting
playing badminton
rolling pastry
crying
massaging back
building shed
roller skating
tasting food
pushing cart
clay pottery making
fly tying
playing ice hockey
standing on hands
using a power drill
washing dishes
grooming horse
tasting food
high kick
clean and jerk
plastering
catching fish
yarn spinning
gymnastics tumbling
sled dog racing
cleaning shoes
getting a piercing
flint knapping
putting on foundation
photocopying
trimming or shaving beard
waxing back
docking boat
putting on shoes
making snowman
sword swallowing
bending metal
singing
embroidering
vacuuming floor
waxing chest
diving cliff
tasting beer
stretching arm
waxing eyebrows
lighting fire
long jump
tango dancing
gymnastics tumbling
feeding birds
shaking head
bouncing on bouncy castle
milking cow
bottling
moving furniture
washing hair
massaging feet
opening refrigerator
catching or throwing frisbee
cleaning pool
yawning
blowing out candles
sharpening pencil
marching
bouncing on bouncy castle
burping
blowing leaves
yawning
eating ice cream
playing polo
visiting the zoo
pull ups
tapping pen
kicking soccer ball
breading or breadcrumbing
gold panning
shuffling feet
zumba
tango dancing
singing
sipping cup
poking bellybutton
spelunking
running on treadmill
playing chess
cleaning gutters
kissing
bathing dog
snowkiting
abseiling
putting on mascara
counting money
throwing ball (not baseball or American football)
skiing mono
stomping grapes
reading newspaper
scrapbooking
cutting orange
smoking pipe
folding paper
sticking tongue out
shopping
chiseling stone
springboard diving
using inhaler
riding camel
clam digging
breaking boards
walking through snow
tasting food
waxing back
acting in play
marching
air drumming
dyeing eyebrows
snowmobiling
snorkeling
cleaning windows
high kick
clay pottery making
pouring beer
changing gear in car
massaging feet
picking fruit
pumping gas
jetskiing
washing hands
spelunking
using remote controller (not gaming)
smoking hookah
playing cricket
whistling
eating cake
tapping pen
winking
playing cricket
chewing gum
falling off bike
delivering mail
tango dancing
counting money
parkour
playing squash or racquetball
hoverboarding
eating burger
snatch weight lifting
parkour
throwing water balloon
inflating balloons
shooting goal (soccer)
moving furniture
wading through mud
throwing axe
doing laundry
getting a tattoo
chopping vegetables
snowmobiling
trapezing
playing hand clapping games
water skiing
carving ice
sled dog racing
trapezing
pull ups
cracking back
shooting basketball
scrapbooking
dribbling basketball
trimming or shaving beard
wading through mud
huddling
riding unicycle
steer roping
golf driving
washing dishes
marching
tapping guitar
passing soccer ball
cooking on campfire
washing feet
sword fighting
cartwheeling
zumba
water sliding
chiseling wood
punching person (boxing)
unloading truck
tying necktie
using atm
battle rope training
roasting marshmallows
playing badminton
jaywalking
riding elephant
pole vault
breaking boards
grooming dog
longboarding
canoeing or kayaking
disc golfing
diving cliff
stretching arm
carrying baby
paragliding
surfing water
chopping wood
riding snow blower
breathing fire
pillow fight
fixing hair
pumping fist
lawn mower racing
ice fishing
shining flashlight
karaoke
hurling (sport)
singing
swing dancing
crying
jumping into pool
massaging legs
playing hand clapping games
dribbling basketball
egg hunting
mowing lawn
egg hunting
cheerleading
throwing ball (not baseball or American football)
petting cat
stretching arm
waiting in line
tackling
whistling
using segway
jetskiing
playing ice hockey
skateboarding
looking at phone
blowing leaves
catching or throwing frisbee
feeding birds
petting cat
using a microscope
roasting pig
playing maracas
playing with trains
bull fighting
capsizing
cooking egg
swinging baseball bat
photocopying
gospel singing in church
grinding meat
making paper aeroplanes
massaging feet
milking cow
applying cream
jogging
busking
playing polo
blowdrying hair
shopping
hugging (not baby)
opening bottle (not wine)
needle felting
mountain climber (exercise)
surfing water
climbing a rope
doing aerobics
reading newspaper
using a paint roller
canoeing or kayaking
passing soccer ball
blasting sand
laying bricks
smoking hookah
tackling
catching or throwing frisbee
curling (sport)
news anchoring
acting in play
eating spaghetti
lighting fire
picking fruit
dancing gangnam style
washing hair
laying bricks
scuba diving
eating spaghetti
bottling
archaeological excavation
bouncing on bouncy castle
shaking head
casting fishing line
tying necktie
breading or breadcrumbing
tasting wine
waiting in line
playing tennis
playing clarinet
pumping fist
tasting wine
playing saxophone
swinging on something
playing xylophone
spelunking
playing guitar
tap dancing
weaving fabric
shaking hands
cleaning gutters
dumpster diving
pole vault
playing beer pong
falling off chair
shaping bread dough
bobsledding
carrying baby
sticking tongue out
karaoke
visiting the zoo
putting in contact lenses
shoveling snow
swinging on something
faceplanting
tango dancing
feeding fish
massaging feet
riding unicycle
using bagging machine
slacklining
long jump
cutting pineapple
inflating balloons
playing saxophone
playing xylophone
dyeing hair
kitesurfing
hockey stop
sewing
cooking sausages (not on barbeque)
capsizing
doing nails
embroidering
folding clothes
playing cricket
fencing (sport)
tasting wine
crying
waxing back
square dancing
changing gear in car
scrambling eggs
making horseshoes
watering plants
gold panning
playing scrabble
feeding goats
biking through snow
jaywalking
skydiving
using a microscope
playing clarinet
tap dancing
bee keeping
blowdrying hair
capsizing
using a wrench
lunge
mushroom foraging
falling off chair
unboxing
dining
head stand
hurling (sport)
bending metal
cutting pineapple
smoking hookah
hugging (not baby)
smashing
moon walking
welding
raising eyebrows
sailing
putting on lipstick
catching or throwing baseball
long jump
shot put
acting in play
roller skating
arranging flowers
passing soccer ball
washing feet
playing accordion
washing hands
playing organ
dumpster diving
eating cake
testifying
snowmobiling
pull ups
pinching
waxing back
walking the dog
massaging back
building shed
grooming horse
massaging back
playing controller
card throwing
busking
flying kite
cooking scallops
playing gong
head stand
square dancing
brush painting
jumping bicycle
writing
tiptoeing
playing chess
scrubbing face
juggling soccer ball
putting on eyeliner
playing tennis
catching or throwing baseball
tagging graffiti
sawing wood
crossing river
steer roping
tapping guitar
roller skating
chiseling stone
skydiving
breading or breadcrumbing
playing netball
abseiling
walking the dog
historical reenactment
fixing hair
slacklining
tackling
massaging back
flying kite
extinguishing fire
planing wood
cosplaying
laying tiles
fixing hair
playing organ
washing feet
playing guitar
swing dancing
using remote controller (not gaming)
reading newspaper
blowing nose
skydiving
staring
dyeing eyebrows
flipping pancake
massaging person's head
putting in contact lenses
sucking lolly
person collecting garbage
battle rope training
playing monopoly
playing dominoes
surfing water
playing polo
adjusting glasses
tackling
push up
carving pumpkin
pushing wheelbarrow
using a power drill
dancing gangnam style
beatboxing
throwing ball (not baseball or American football)
springboard diving
carving ice
playing netball
gold panning
using a wrench
cutting nails
pirouetting
breakdancing
shot put
passing American football (in game)
playing badminton
playing scrabble
welding
sleeping
dancing macarena
petting animal (not cat)
salsa dancing
driving tractor
laughing
historical reenactment
ironing
side kick
marriage proposal
capsizing
jumping bicycle
mosh pit dancing
playing trumpet
gold panning
playing keyboard
waxing back
pillow fight
playing badminton
passing American football (in game)
swimming backstroke
catching or throwing baseball
playing polo
chewing gum
doing laundry
getting a tattoo
bobsledding
snowkiting
shuffling cards
punching person (boxing)
making a sandwich
playing rubiks cube
falling off chair
bouncing on trampoline
clapping
bouncing on trampoline
playing drums
juggling balls
chopping wood
staring
smoking pipe
cleaning windows
stretching leg
waxing chest
wading through water
weaving fabric
putting in contact lenses
high kick
reading newspaper
fencing (sport)
waving hand
driving tractor
bobsledding
land sailing
swimming butterfly stroke
chopping wood
sharpening pencil
dumpster diving
fixing hair
massaging feet
alligator wrestling
tasting beer
country line dancing
parasailing
wrestling
wrestling
jetskiing
parkour
shaping bread dough
playing kickball
wrapping present
presenting weather forecast
embroidering
playing rubiks cube
sneezing
docking boat
cracking back
using a paint roller
hopscotch
pinching
building cabinet
tickling
changing wheel (not on bike)
beatboxing
separating eggs
getting a tattoo
steer roping
skiing slalom
carving pumpkin
faceplanting
roasting marshmallows
contact juggling
jumping bicycle
pull ups
climbing a rope
swimming butterfly stroke
wading through mud
photobombing
combing hair
throwing discus
contorting
cooking sausages (not on barbeque)
playing rubiks cube
chiseling stone
tying shoe laces
coloring in
skiing slalom
changing oil
inflating balloons
square dancing
putting on mascara
slapping
waving hand
contact juggling
riding a bike
putting on shoes
making sushi
gold panning
head stand
javelin throw
burping
waxing legs
diving cliff
triple jump
playing cricket
kissing
dumpster diving
cooking on campfire
watching tv
playing badminton
winking
steer roping
reading book
spray painting
crawling baby
putting on mascara
tasting wine
singing
arguing
shaving legs
marriage proposal
throwing axe
feeding goats
juggling soccer ball
stretching leg
weaving basket
walking through snow
finger snapping
shooting basketball
dunking basketball
cooking sausages (not on barbeque)
historical reenactment
capsizing
abseiling
swimming breast stroke
marching
bartending
cutting watermelon
cracking knuckles
snowmobiling
playing trumpet
playing lute
chiseling wood
air drumming
winking
repairing puncture
wrapping present
bulldozing
breaking boards
jumpstyle dancing
acting in play
carving ice
pirouetting
parasailing
drumming fingers
baking cookies
waxing eyebrows
making pizza
using remote controller (not gaming)
passing soccer ball
eating hotdog
playing bass guitar
cleaning windows
pushing cart
arranging flowers
stretching arm
playing with trains
yarn spinning
swimming breast stroke
beatboxing
using puppets
playing accordion
dribbling basketball
dancing gangnam style
laughing
salsa dancing
skiing slalom
hoverboarding
climbing ladder
rock scissors paper
high jump
whistling
bathing dog
walking the dog
playing didgeridoo
kitesurfing
long jump
applying cream
lifting hat
clay pottery making
pushing cart
fixing bicycle
long jump
shaking head
stretching arm
doing jigsaw puzzle
cleaning gutters
jaywalking
presenting weather forecast
sign language interpreting
marriage proposal
getting a piercing
looking at phone
playing organ
sanding floor
testifying
parasailing
building cabinet
unloading truck
directing traffic
capoeira
bungee jumping
snowmobiling
eating hotdog
snatch weight lifting
surfing water
playing poker
delivering mail
washing hands
playing saxophone
popping balloons
tying shoe laces
shining shoes
leatherworking
crossing eyes
mosh pit dancing
playing ukulele
land sailing
polishing metal
opening refrigerator
photobombing
pole vault
watching tv
catching or throwing softball
doing nails
jumping jacks
backflip (human)
eating ice cream
playing laser tag
shaping bread dough
milking cow
stomping grapes
bobsledding
jetskiing
hugging (not baby)
clapping
country line dancing
sausage making
playing violin
tango dancing
walking through snow
playing badminton
pillow fight
falling off chair
blowdrying hair
